number,value,state,params_learning_rate,params_lora_alpha,params_lora_dropout,params_r,params_warmup_ratio,params_weight_decay,datetime_start,datetime_complete
13,0.901730552315712,COMPLETE,0.00026521680091870725,32,0.15,8,0.0,0.0018975775404443686,2026-04-18 06:38:26.890261,2026-04-18 07:46:00.021889
14,0.8980078846216202,PRUNED,8.850881171906001e-05,32,0.05,4,0.03,0.0004730801153492552,2026-04-18 07:46:00.740408,2026-04-18 08:13:14.778227
15,0.9012918844819069,PRUNED,0.0001546549601029489,32,0.15,16,0.08,0.0022433565480979517,2026-04-18 08:13:15.616110,2026-04-18 09:24:27.703289
16,0.9018203839659691,COMPLETE,0.00020388706979556539,32,0.0,8,0.08,0.0011062868174908575,2026-04-18 09:24:28.485725,2026-04-18 11:08:58.600761
17,0.9018566235899925,COMPLETE,0.00022171851428547148,32,0.0,8,0.08,0.0011071832129291562,2026-04-18 11:08:59.403225,2026-04-18 12:45:15.396168
18,0.9017182737588882,COMPLETE,0.00029942457186304695,32,0.0,16,0.0,0.0036619570377849357,2026-04-18 12:45:16.235181,2026-04-18 13:56:02.906741
19,0.8983848839998245,PRUNED,0.0001109881107282393,64,0.0,4,0.05,0.0008026960258659045,2026-04-18 13:56:03.778773,2026-04-18 14:23:07.481860
20,0.8949114084243774,PRUNED,8.613246161909582e-05,32,0.1,16,0.1,0.001970063774747004,2026-04-18 14:23:08.816277,2026-04-18 14:50:10.206570
21,0.9018891304731369,COMPLETE,0.00022358635248785226,32,0.0,8,0.08,0.0009028648547503006,2026-04-18 14:50:11.430675,2026-04-18 16:27:57.484962
22,0.9015205129981041,COMPLETE,0.00023611255463608496,32,0.0,8,0.08,0.0009479494962046397,2026-04-18 16:27:58.629183,2026-04-18 17:35:51.273428
23,0.8985429033637047,PRUNED,0.00015492822170869806,32,0.0,8,0.08,0.0003651833355521501,2026-04-18 17:35:52.402505,2026-04-18 18:03:02.490131
24,0.9016143903136253,COMPLETE,0.00022644284749413968,32,0.0,8,0.03,0.00163572690696216,2026-04-18 18:03:03.497878,2026-04-18 19:09:41.443632
25,0.8983881920576096,PRUNED,0.00014826312127981848,32,0.15,8,0.08,0.00290873488957128,2026-04-18 19:09:42.504715,2026-04-18 19:36:48.088680
26,0.897393248975277,PRUNED,0.00011106068463185212,32,0.0,8,0.08,0.0007796268846652915,2026-04-18 19:36:49.111972,2026-04-18 20:03:55.037758
27,0.9019346013665199,COMPLETE,0.0002490564837914727,32,0.0,8,0.08,0.0012718567841742577,2026-04-18 20:03:56.079982,2026-04-18 21:41:44.322983
28,0.9018997400999069,COMPLETE,0.0002829085488337741,64,0.15,4,0.08,0.006719218295365147,2026-04-18 21:41:45.400886,2026-04-18 23:09:30.444126
29,0.9018445461988449,COMPLETE,0.0002687689876880144,64,0.15,4,0.08,0.013708854447212142,2026-04-18 23:09:32.130420,2026-04-19 00:37:09.807603
30,0.9019035696983337,COMPLETE,0.00028958886339930986,64,0.15,4,0.03,0.0072425089307224305,2026-04-19 00:37:11.358253,2026-04-19 02:04:02.668585
31,0.9019335061311722,COMPLETE,0.00029980689515569556,64,0.15,4,0.03,0.00805072171586871,2026-04-19 02:04:03.898186,2026-04-19 03:31:39.753143
32,0.9018120020627975,COMPLETE,0.00024982150582622585,64,0.15,4,0.03,0.011095724198439018,2026-04-19 03:31:42.010436,2026-04-19 04:49:26.526146
33,0.9018975719809532,COMPLETE,0.0002921984413612689,64,0.15,4,0.03,0.004781268230193886,2026-04-19 04:49:27.753044,2026-04-19 06:15:55.494296
34,0.898446574807167,PRUNED,0.00010014368103135294,64,0.15,4,0.03,0.010019782177140236,2026-04-19 06:15:56.765268,2026-04-19 06:43:00.328135
35,0.9014255255460739,PRUNED,0.00019563598920111788,16,0.15,4,0.03,0.0028115710271209553,2026-04-19 06:43:01.604100,2026-04-19 07:33:42.675145
36,0.9017989039421082,COMPLETE,0.0002487820386194434,64,0.15,4,0.03,0.0013669499996041222,2026-04-19 07:33:43.987667,2026-04-19 08:50:54.386055
37,0.8975100368261337,PRUNED,7.59664479495658e-05,16,0.15,16,0.03,0.0045586279149460295,2026-04-19 08:50:55.714444,2026-04-19 09:18:02.518580
38,0.9010615050792694,PRUNED,0.00026933508564560925,64,0.15,4,0.1,0.00950368560800424,2026-04-19 09:18:03.881022,2026-04-19 09:58:40.973139
39,0.8997337818145752,PRUNED,0.00012925225623452955,16,0.15,16,0.03,0.019908906407352857,2026-04-19 09:58:42.671608,2026-04-19 10:32:41.610560
40,0.9010653644800186,PRUNED,0.0001720345880258521,64,0.1,4,0.05,0.0033014693016022345,2026-04-19 10:32:43.107633,2026-04-19 11:13:26.562466
41,0.9019320607185364,COMPLETE,0.00029840049096986317,64,0.15,4,0.03,0.006650087422322596,2026-04-19 11:13:28.044517,2026-04-19 12:41:17.220833
42,0.9019187092781067,COMPLETE,0.0002945365599458406,64,0.15,4,0.03,0.00569647621824268,2026-04-19 12:41:18.714558,2026-04-19 14:09:07.230807
43,0.9018042683601379,COMPLETE,0.0002430172707508167,64,0.15,4,0.03,0.004997408530672149,2026-04-19 14:09:08.794674,2026-04-19 15:26:55.578683
44,0.9018259197473526,COMPLETE,0.00026452329434840206,64,0.15,4,0.03,0.01381431740578365,2026-04-19 15:26:57.217541,2026-04-19 16:54:52.879975
45,0.9015090093016624,PRUNED,0.00021036720388078784,64,0.15,16,0.03,0.008192630478459514,2026-04-19 16:54:54.559857,2026-04-19 17:45:41.151805
46,0.901908777654171,COMPLETE,0.0002980074017054823,64,0.05,4,0.0,0.002374709915977703,2026-04-19 17:45:43.091518,2026-04-19 19:13:14.834816
47,0.9019063711166382,COMPLETE,0.00029488919571001336,64,0.05,4,0.0,0.005413533079657414,2026-04-19 19:13:16.717473,2026-04-19 20:41:17.502977
48,0.9017642587423325,PRUNED,0.0002493848157617105,64,0.05,4,0.0,0.002465647822393976,2026-04-19 20:41:20.090280,2026-04-19 21:58:53.821596
49,0.9018554091453552,COMPLETE,0.00027724013885853057,64,0.05,4,0.0,0.003873953150967444,2026-04-19 21:58:55.673757,2026-04-19 23:26:11.130614
